region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Vellinge,238,18,612,-875,-3214,2023,2644,2346,3287,1256,-1489,2089,2,795,385,192,233,1170,2394,1486,591,2990,4062,7658
ostra Goinge,387,153,561,365,489,211,-28,11,1950,551,1624,1644,1424,807,1539,1421,1413,3084,1853,1412,1435,1190,1801,2167
orkelljunga,1260,481,2036,1431,1200,120,234,810,1757,1177,-2304,3550,2807,-1230,168,-420,1129,2511,2137,1294,917,2180,4126,4747
Bjuv,464,918,1292,789,455,-576,111,793,1307,390,556,414,-362,1023,618,821,1161,504,194,871,392,290,1522,5436
Kavlinge,-124,-139,760,588,456,515,477,709,1595,1924,907,2289,2358,1793,1536,2117,1580,1545,1300,514,2719,-5915,-2131,5473
Lomma,743,473,1477,-142,-1014,519,1270,3950,3957,1561,5470,720,1992,814,1976,2705,179,1379,2710,3075,2877,4221,3685,2669
Svedala,22,-155,684,-288,-998,1167,677,584,1820,1686,659,446,1558,1618,763,158,-20,1031,1824,1420,864,1150,-2767,5395
Skurup,689,646,1107,1113,1290,90,56,755,1062,231,-27,851,1846,1177,-451,2324,-464,671,920,1574,918,-341,3484,3297
Sjobo,190,-88,697,673,982,745,337,861,1075,506,903,1057,7491,600,915,1459,1275,1565,1225,1252,-144,1403,1954,4207
Horby,-277,-556,23,338,-1919,-504,-644,441,817,912,255,728,-31,-131,1080,820,249,449,1136,1562,426,-307,-2268,4850
Hoor,123,135,1455,809,-209,114,-20,560,683,800,-678,7699,5413,400,604,1333,25,358,273,-1092,1236,3295,3634,6420
Tomelilla,1018,779,471,647,-135,-1035,-988,1194,819,835,687,1558,1796,1495,565,1551,1187,1306,1351,997,345,891,3517,4471
Bromolla,-957,-1229,-217,-405,-167,390,1151,1615,1460,1845,666,807,1453,2156,2223,1466,784,175,963,1333,1045,-218,323,1822
